,name,cmc,colors,type,subtypes,rarity,power,toughness,image_url,code,release_date
445,Argothian Swine,4.0,['Green'],Creature — Boar,['Boar'],Common,3,3,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=5862&type=card,USG,1998-10-12
446,Argothian Treefolk,5.0,['Green'],Creature — Treefolk,['Treefolk'],Common,3,5,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1051&type=card,ATQ,1994-03-04
447,Argothian Wurm,4.0,['Green'],Creature — Wurm,['Wurm'],Rare,6,6,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=5769&type=card,USG,1998-10-12
448,Arisen Gorgon,3.0,['Black'],Creature — Zombie Gorgon,"['Zombie', 'Gorgon']",Uncommon,3,3,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=450239&type=card,M19,2018-07-13
449,"Arixmethes, Slumbering Isle",4.0,"['Green', 'Blue']",Legendary Creature — Kraken,['Kraken'],Rare,12,12,,PZ2,2016-11-16
450,"Arjun, the Shifting Flame",6.0,"['Red', 'Blue']",Legendary Creature — Sphinx Wizard,"['Sphinx', 'Wizard']",Mythic,5,5,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=405131&type=card,C15,2015-11-13
451,Arlinn's Wolf,3.0,['Green'],Creature — Wolf,['Wolf'],Common,3,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=461078&type=card,WAR,2019-05-03
452,Armada Wurm,6.0,"['Green', 'White']",Creature — Wurm,['Wurm'],Mythic,5,5,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=253587&type=card,RTR,2012-10-05
453,Armament Corps,5.0,"['Black', 'Green', 'White']",Creature — Human Soldier,"['Human', 'Soldier']",Uncommon,4,4,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=386480&type=card,KTK,2014-09-26
454,Armament Master,2.0,['White'],Creature — Kor Soldier,"['Kor', 'Soldier']",Rare,2,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=190420&type=card,ZEN,2009-10-02
455,Armor Sliver,3.0,['White'],Creature — Sliver,['Sliver'],Uncommon,2,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=4689&type=card,TMP,1997-10-14
456,Armor Thrull,3.0,['Black'],Creature — Thrull,['Thrull'],Common,1,3,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1841&type=card,FEM,1994-11-01
457,Armorcraft Judge,4.0,['Green'],Creature — Elf Artificer,"['Elf', 'Artificer']",Uncommon,3,3,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=417717&type=card,KLD,2016-09-30
458,Armored Cancrix,5.0,['Blue'],Creature — Crab,['Crab'],Common,2,5,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205083&type=card,M11,2010-07-16
459,Armored Galleon,5.0,['Blue'],Creature — Human Pirate,"['Human', 'Pirate']",Uncommon,5,4,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=6537&type=card,P02,1998-06-01
460,Armored Griffin,4.0,['White'],Creature — Griffin,['Griffin'],Uncommon,2,3,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=6509&type=card,P02,1998-06-01
461,Armored Guardian,5.0,"['Blue', 'White']",Creature — Cat Soldier,"['Cat', 'Soldier']",Rare,2,5,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=23197&type=card,INV,2000-10-02
462,Armored Pegasus,2.0,['White'],Creature — Pegasus,['Pegasus'],Common,1,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=4374&type=card,POR,1997-05-01
463,Armored Skaab,3.0,['Blue'],Creature — Zombie Warrior,"['Zombie', 'Warrior']",Common,1,4,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=244685&type=card,ISD,2011-09-30
464,Armored Transport,3.0,[],Artifact Creature — Construct,['Construct'],Common,2,1,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=366344&type=card,GTC,2013-02-01
465,Armored Warhorse,2.0,['White'],Creature — Horse,['Horse'],Common,2,3,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=222634&type=card,M12,2011-07-15
466,Armored Whirl Turtle,3.0,['Blue'],Creature — Turtle,['Turtle'],Common,0,5,,PZ2,2016-11-16
467,Armored Wolf-Rider,5.0,"['Green', 'White']",Creature — Elf Knight,"['Elf', 'Knight']",Common,4,6,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=369082&type=card,DGM,2013-05-03
468,Armorer Guildmage,1.0,['Red'],Creature — Human Wizard,"['Human', 'Wizard']",Common,1,1,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=3427&type=card,MIR,1996-10-08
469,Armory Automaton,3.0,[],Artifact Creature — Construct,['Construct'],Rare,2,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=420668&type=card,C16,2016-11-11
470,Armory Guard,4.0,['White'],Creature — Giant Soldier,"['Giant', 'Soldier']",Common,2,5,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=253570&type=card,RTR,2012-10-05
471,Arms Dealer,3.0,['Red'],Creature — Goblin Rogue,"['Goblin', 'Rogue']",Uncommon,1,1,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=19861&type=card,MMQ,1999-10-04
472,Army Ants,3.0,"['Black', 'Red']",Creature — Insect,['Insect'],Uncommon,1,1,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=3733&type=card,VIS,1997-02-03
473,Arrogant Bloodlord,3.0,['Black'],Creature — Vampire Knight,"['Vampire', 'Knight']",Uncommon,4,4,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=193511&type=card,ROE,2010-04-23
474,Arrogant Vampire,5.0,['Black'],Creature — Vampire,['Vampire'],Uncommon,4,3,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=4207&type=card,POR,1997-05-01
475,Arrogant Wurm,5.0,['Green'],Creature — Wurm,['Wurm'],Uncommon,4,4,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=12623&type=card,TOR,2002-02-04
476,Arsenal Thresher,4.0,"['Black', 'Blue', 'White']",Artifact Creature — Construct,['Construct'],Common,2,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=189652&type=card,ARB,2009-04-30
477,Artificer's Assistant,1.0,['Blue'],Creature — Bird,['Bird'],Common,1,1,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=442932&type=card,DOM,2018-04-27
478,Artisan of Forms,2.0,['Blue'],Creature — Human Wizard,"['Human', 'Wizard']",Rare,1,1,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=373742&type=card,THS,2013-09-27
479,Artisan of Kozilek,9.0,[],Creature — Eldrazi,['Eldrazi'],Uncommon,10,9,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=193429&type=card,ROE,2010-04-23
480,Arvad the Cursed,5.0,"['Black', 'White']",Legendary Creature — Vampire Knight,"['Vampire', 'Knight']",Uncommon,3,3,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=443079&type=card,DOM,2018-04-27
481,"Aryel, Knight of Windgrace",4.0,"['Black', 'White']",Legendary Creature — Human Knight,"['Human', 'Knight']",Rare,4,4,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=443080&type=card,DOM,2018-04-27
482,Ascendant Evincar,6.0,['Black'],Legendary Creature — Vampire,['Vampire'],Rare,3,3,,PMEI,1995-01-01
483,Ascended Lawmage,4.0,"['Blue', 'White']",Creature — Vedalken Wizard,"['Vedalken', 'Wizard']",Uncommon,3,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=369016&type=card,DGM,2013-05-03
484,Ascending Aven,4.0,['Blue'],Creature — Bird Soldier,"['Bird', 'Soldier']",Common,3,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=25879&type=card,ONS,2002-10-07
485,Ash Zealot,2.0,['Red'],Creature — Human Warrior,"['Human', 'Warrior']",Rare,2,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=253623&type=card,RTR,2012-10-05
486,Ashcloud Phoenix,4.0,['Red'],Creature — Phoenix,['Phoenix'],Mythic,4,1,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=386482&type=card,KTK,2014-09-26
487,Ashcoat Bear,2.0,['Green'],Creature — Bear,['Bear'],Common,2,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=114905&type=card,TSP,2006-10-06
488,Ashen Firebeast,8.0,['Red'],Creature — Elemental Beast,"['Elemental', 'Beast']",Rare,6,6,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=29965&type=card,ODY,2001-10-01
489,Ashen Ghoul,4.0,['Black'],Creature — Zombie,['Zombie'],Uncommon,3,1,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=2438&type=card,ICE,1995-06-01
490,Ashen Monstrosity,7.0,['Red'],Creature — Spirit,['Spirit'],Uncommon,7,4,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=74469&type=card,BOK,2005-02-04
491,Ashen Rider,8.0,"['Black', 'White']",Creature — Archon,['Archon'],Mythic,5,5,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=373689&type=card,THS,2013-09-27
492,Ashen-Skin Zubera,2.0,['Black'],Creature — Zubera Spirit,"['Zubera', 'Spirit']",Common,1,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=80509&type=card,CHK,2004-10-01
493,Ashenmoor Cohort,6.0,['Black'],Creature — Elemental Warrior,"['Elemental', 'Warrior']",Common,4,3,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=142060&type=card,SHM,2008-05-02
494,Ashenmoor Gouger,3.0,"['Black', 'Red']",Creature — Elemental Warrior,"['Elemental', 'Warrior']",Uncommon,4,4,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=153981&type=card,SHM,2008-05-02
495,Ashenmoor Liege,4.0,"['Black', 'Red']",Creature — Elemental Knight,"['Elemental', 'Knight']",Rare,4,1,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=146065&type=card,SHM,2008-05-02
496,Ashiok's Adept,3.0,['Black'],Creature — Human Wizard,"['Human', 'Wizard']",Uncommon,1,3,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=378431&type=card,BNG,2014-02-07
497,Ashiok's Forerunner,5.0,"['Black', 'Blue']",Creature — Human Wizard,"['Human', 'Wizard']",Rare,3,3,,THB,2020-01-24
498,Ashiok's Skulker,5.0,['Blue'],Creature — Nightmare,['Nightmare'],Common,3,5,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=460967&type=card,WAR,2019-05-03
499,Ashling the Pilgrim,2.0,['Red'],Legendary Creature — Elemental Shaman,"['Elemental', 'Shaman']",Rare,1,1,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=141822&type=card,LRW,2007-10-12
500,"Ashling, the Extinguisher",4.0,['Black'],Legendary Creature — Elemental Shaman,"['Elemental', 'Shaman']",Rare,4,4,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=151137&type=card,EVE,2008-07-25
501,Ashmouth Hound,2.0,['Red'],Creature — Elemental Hound,"['Elemental', 'Hound']",Common,2,1,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=233255&type=card,ISD,2011-09-30
502,"Asmira, Holy Avenger",4.0,"['Green', 'White']",Legendary Creature — Human Cleric,"['Human', 'Cleric']",Rare,2,3,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=3527&type=card,MIR,1996-10-08
503,Asphodel Wanderer,1.0,['Black'],Creature — Skeleton Soldier,"['Skeleton', 'Soldier']",Common,1,1,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=373631&type=card,THS,2013-09-27
504,Aspiring Aeronaut,4.0,['Blue'],Creature — Human Artificer,"['Human', 'Artificer']",Common,1,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=398674&type=card,ORI,2015-07-17
505,Assault Griffin,4.0,['White'],Creature — Griffin,['Griffin'],Common,3,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=208296&type=card,M11,2010-07-16
506,Assault Zeppelid,4.0,"['Green', 'Blue']",Creature — Beast,['Beast'],Common,3,3,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=97107&type=card,DIS,2006-05-05
507,Assembled Alphas,6.0,['Red'],Creature — Wolf,['Wolf'],Rare,5,5,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=414414&type=card,EMN,2016-07-22
508,Assembly-Worker,3.0,[],Artifact Creature — Assembly-Worker,['Assembly-Worker'],Uncommon,2,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=114916&type=card,TSP,2006-10-06
509,Asylum Visitor,2.0,['Black'],Creature — Vampire Wizard,"['Vampire', 'Wizard']",Rare,3,1,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=409846&type=card,SOI,2016-04-08
510,"Atalya, Samite Master",5.0,['White'],Legendary Creature — Human Cleric,"['Human', 'Cleric']",Rare,2,3,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=22964&type=card,INV,2000-10-02
511,Atarka Beastbreaker,2.0,['Green'],Creature — Human Warrior,"['Human', 'Warrior']",Common,2,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=394498&type=card,DTK,2015-03-27
512,Atarka Efreet,4.0,['Red'],Creature — Efreet Shaman,"['Efreet', 'Shaman']",Common,5,1,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=394499&type=card,DTK,2015-03-27
513,Atarka Pummeler,5.0,['Red'],Creature — Ogre Warrior,"['Ogre', 'Warrior']",Uncommon,4,5,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=394501&type=card,DTK,2015-03-27
514,"Atarka, World Render",7.0,"['Green', 'Red']",Legendary Creature — Dragon,['Dragon'],Rare,6,4,,PRES,2007-01-01
515,"Atemsis, All-Seeing",6.0,['Blue'],Legendary Creature — Sphinx,['Sphinx'],Rare,4,5,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=466800&type=card,M20,2019-07-12
516,"Athreos, God of Passage",3.0,"['Black', 'White']",Legendary Enchantment Creature — God,['God'],Mythic,5,4,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=380374&type=card,JOU,2014-05-02
517,"Athreos, Shroud-Veiled",6.0,"['Black', 'White']",Legendary Enchantment Creature — God,['God'],Mythic,4,7,,THB,2020-01-24
518,"Atla Palani, Nest Tender",4.0,"['Green', 'Red', 'White']",Legendary Creature — Human Shaman,"['Human', 'Shaman']",Mythic,2,3,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=470584&type=card,C19,2019-08-23
519,Atog,2.0,['Red'],Creature — Atog,['Atog'],Common,1,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1058&type=card,ATQ,1994-03-04
520,Atogatog,5.0,"['Black', 'Green', 'Red', 'Blue', 'White']",Legendary Creature — Atog,['Atog'],Rare,5,5,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=31834&type=card,ODY,2001-10-01
521,"Atraxa, Praetors' Voice",4.0,"['Black', 'Green', 'Blue', 'White']",Legendary Creature — Angel Horror,"['Angel', 'Horror']",Mythic,4,4,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=420645&type=card,C16,2016-11-11
522,"Atris, Oracle of Half-Truths",4.0,"['Black', 'Blue']",Legendary Creature — Human Advisor,"['Human', 'Advisor']",Rare,3,2,,THB,2020-01-24
523,Attendant of Vraska,3.0,"['Black', 'Green']",Creature — Zombie Soldier,"['Zombie', 'Soldier']",Uncommon,3,3,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=455611&type=card,GRN,2018-10-05
524,Attended Knight,3.0,['White'],Creature — Human Knight,"['Human', 'Knight']",Common,2,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=265723&type=card,M13,2012-07-13
525,Atzocan Archer,3.0,['Green'],Creature — Human Archer,"['Human', 'Archer']",Uncommon,1,4,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435331&type=card,XLN,2017-09-29
526,Atzocan Seer,3.0,"['Green', 'White']",Creature — Human Druid,"['Human', 'Druid']",Uncommon,2,3,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439810&type=card,RIX,2018-01-19
527,Audacious Infiltrator,2.0,['White'],Creature — Dwarf Rogue,"['Dwarf', 'Rogue']",Common,3,1,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423674&type=card,AER,2017-01-20
528,Audacious Thief,3.0,['Black'],Creature — Human Rogue,"['Human', 'Rogue']",Common,2,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=466838&type=card,M20,2019-07-12
529,Augmenting Automaton,1.0,[],Artifact Creature — Construct,['Construct'],Common,1,1,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423810&type=card,AER,2017-01-20
530,Augur il-Vec,2.0,['White'],Creature — Human Cleric,"['Human', 'Cleric']",Common,1,3,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=132212&type=card,FUT,2007-05-04
531,Augur of Bolas,2.0,['Blue'],Creature — Merfolk Wizard,"['Merfolk', 'Wizard']",Uncommon,1,3,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=249676&type=card,M13,2012-07-13
532,Augur of Skulls,2.0,['Black'],Creature — Skeleton Wizard,"['Skeleton', 'Wizard']",Common,1,1,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=132224&type=card,FUT,2007-05-04
533,Augury Adept,3.0,"['Blue', 'White']",Creature — Kithkin Wizard,"['Kithkin', 'Wizard']",Rare,2,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=147407&type=card,SHM,2008-05-02
534,Augury Owl,2.0,['Blue'],Creature — Bird,['Bird'],Common,1,1,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=208225&type=card,M11,2010-07-16
535,Auntie's Snitch,3.0,['Black'],Creature — Goblin Rogue,"['Goblin', 'Rogue']",Rare,3,1,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=153280&type=card,MOR,2008-02-01
536,Aura Gnarlid,3.0,['Green'],Creature — Beast,['Beast'],Common,2,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=193478&type=card,ROE,2010-04-23
537,Aura Thief,4.0,['Blue'],Creature — Illusion,['Illusion'],Rare,2,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=15261&type=card,UDS,1999-06-07
538,Auramancer,3.0,['White'],Creature — Human Wizard,"['Human', 'Wizard']",Common,2,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=29700&type=card,ODY,2001-10-01
539,Auratog,2.0,['White'],Creature — Atog,['Atog'],Rare,1,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=4862&type=card,TMP,1997-10-14
540,Auratouched Mage,6.0,['White'],Creature — Human Wizard,"['Human', 'Wizard']",Uncommon,3,3,,PSAL,2005-08-22
541,"Aurelia, Exemplar of Justice",4.0,"['Red', 'White']",Legendary Creature — Angel,['Angel'],Mythic,2,5,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=452903&type=card,GRN,2018-10-05
542,"Aurelia, the Warleader",6.0,"['Red', 'White']",Legendary Creature — Angel,['Angel'],Mythic,3,4,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=366448&type=card,GTC,2013-02-01
543,Auriok Bladewarden,2.0,['White'],Creature — Human Soldier,"['Human', 'Soldier']",Uncommon,1,1,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=48433&type=card,MRD,2003-10-02
544,Auriok Champion,2.0,['White'],Creature — Human Cleric,"['Human', 'Cleric']",Rare,1,1,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=72921&type=card,5DN,2004-06-04
545,Auriok Edgewright,2.0,['White'],Creature — Human Soldier,"['Human', 'Soldier']",Uncommon,2,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=208260&type=card,SOM,2010-10-01
546,Auriok Glaivemaster,1.0,['White'],Creature — Human Soldier,"['Human', 'Soldier']",Common,1,1,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=48988&type=card,DST,2004-02-06
547,Auriok Replica,3.0,[],Artifact Creature — Cleric,['Cleric'],Common,2,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=209051&type=card,SOM,2010-10-01
548,Auriok Salvagers,4.0,['White'],Creature — Human Soldier,"['Human', 'Soldier']",Uncommon,2,4,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=51166&type=card,5DN,2004-06-04
549,Auriok Siege Sled,6.0,[],Artifact Creature — Juggernaut,['Juggernaut'],Uncommon,3,5,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=43556&type=card,DST,2004-02-06
550,Auriok Steelshaper,2.0,['White'],Creature — Human Soldier,"['Human', 'Soldier']",Rare,1,1,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=46081&type=card,MRD,2003-10-02
551,Auriok Sunchaser,2.0,['White'],Creature — Human Soldier,"['Human', 'Soldier']",Common,1,1,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=208249&type=card,SOM,2010-10-01
552,Auriok Survivors,6.0,['White'],Creature — Human Soldier,"['Human', 'Soldier']",Uncommon,4,6,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=214353&type=card,NPH,2011-05-13
553,Auriok Transfixer,1.0,['White'],Creature — Human Scout,"['Human', 'Scout']",Common,1,1,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=45963&type=card,MRD,2003-10-02
554,Auriok Windwalker,4.0,['White'],Creature — Human Wizard,"['Human', 'Wizard']",Rare,2,3,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=46175&type=card,5DN,2004-06-04
555,Aurochs,4.0,['Green'],Creature — Aurochs,['Aurochs'],Common,2,3,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=2549&type=card,ICE,1995-06-01
556,Aurochs Herd,6.0,['Green'],Creature — Aurochs,['Aurochs'],Common,4,4,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=121260&type=card,CSP,2006-07-21
557,Aurora Champion,3.0,['White'],Creature — Elf Warrior,"['Elf', 'Warrior']",Common,3,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=445992&type=card,BBD,2018-06-08
558,Aurora Eidolon,4.0,['White'],Creature — Spirit,['Spirit'],Common,2,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=110639&type=card,DIS,2006-05-05
559,Aurora Griffin,4.0,['White'],Creature — Griffin,['Griffin'],Common,2,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=26284&type=card,PLS,2001-02-05
560,Aurora of Emrakul,3.0,[],Creature — Eldrazi Reflection,"['Eldrazi', 'Reflection']",Uncommon,1,4,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=414500&type=card,EMN,2016-07-22
561,Auspicious Ancestor,4.0,['White'],Creature — Human Cleric,"['Human', 'Cleric']",Rare,2,3,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=3478&type=card,MIR,1996-10-08
562,Autochthon Wurm,15.0,"['Green', 'White']",Creature — Wurm,['Wurm'],Rare,9,14,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=89096&type=card,RAV,2005-10-07
563,Autumn Willow,6.0,['Green'],Legendary Creature — Avatar,['Avatar'],Rare,4,4,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=2962&type=card,HML,1995-10-01
564,"Autumn-Tail, Kitsune Sage",4.0,['White'],Legendary Creature — Fox Wizard,"['Fox', 'Wizard']",Rare,4,5,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=78695&type=card,CHK,2004-10-01
565,Avacyn's Pilgrim,1.0,['Green'],Creature — Human Monk,"['Human', 'Monk']",Common,1,1,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=243212&type=card,ISD,2011-09-30
566,"Avacyn, Angel of Hope",8.0,['White'],Legendary Creature — Angel,['Angel'],Mythic,8,8,,PHEL,2012-04-28
567,"Avacyn, Guardian Angel",5.0,['White'],Legendary Creature — Angel,['Angel'],Rare,5,4,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=383185&type=card,M15,2014-07-18
568,"Avacyn, the Purifier",5.0,['Red'],Legendary Creature — Angel,['Angel'],Mythic,6,5,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=409742&type=card,SOI,2016-04-08
569,Avacynian Missionaries,4.0,['White'],Creature — Human Cleric,"['Human', 'Cleric']",Uncommon,3,3,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=409743&type=card,SOI,2016-04-08
570,Avacynian Priest,2.0,['White'],Creature — Human Cleric,"['Human', 'Cleric']",Common,1,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=220380&type=card,ISD,2011-09-30
571,Avalanche Riders,4.0,['Red'],Creature — Human Nomad,"['Human', 'Nomad']",Uncommon,2,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=12418&type=card,ULG,1999-02-15
572,Avalanche Tusker,5.0,"['Green', 'Red', 'Blue']",Creature — Elephant Warrior,"['Elephant', 'Warrior']",Rare,6,4,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=386483&type=card,KTK,2014-09-26
573,Avarax,5.0,['Red'],Creature — Beast,['Beast'],Uncommon,3,3,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=43331&type=card,ONS,2002-10-07
574,Avaricious Dragon,4.0,['Red'],Creature — Dragon,['Dragon'],Mythic,4,4,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=398667&type=card,ORI,2015-07-17
575,Avatar of Discord,3.0,"['Black', 'Red']",Creature — Avatar,['Avatar'],Rare,5,3,,PPRE,1997-10-04
576,Avatar of Fury,8.0,['Red'],Creature — Avatar,['Avatar'],Rare,6,6,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=24644&type=card,PCY,2000-06-05
577,Avatar of Growth,6.0,['Green'],Creature — Elemental Avatar,"['Elemental', 'Avatar']",Mythic,4,4,,PZ2,2016-11-16
578,Avatar of Hope,8.0,['White'],Creature — Avatar,['Avatar'],Rare,4,9,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=97060&type=card,PPRE,1997-10-04
579,Avatar of Might,8.0,['Green'],Creature — Avatar,['Avatar'],Rare,8,8,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=24671&type=card,PCY,2000-06-05
580,Avatar of Slaughter,8.0,['Red'],Creature — Avatar,['Avatar'],Rare,8,8,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=236497&type=card,CMD,2011-06-17
581,Avatar of Will,8.0,['Blue'],Creature — Avatar,['Avatar'],Rare,5,6,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=24590&type=card,PCY,2000-06-05
582,Avatar of Woe,8.0,['Black'],Creature — Avatar,['Avatar'],Rare,6,5,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=24621&type=card,PCY,2000-06-05
583,Avatar of the Resolute,2.0,['Green'],Creature — Avatar,['Avatar'],Rare,3,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=394503&type=card,DTK,2015-03-27
584,Aven Archer,5.0,['White'],Creature — Bird Soldier Archer,"['Bird', 'Soldier', 'Archer']",Uncommon,2,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=29691&type=card,ODY,2001-10-01
585,Aven Augur,4.0,['Blue'],Creature — Bird Wizard,"['Bird', 'Wizard']",Common,2,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=132225&type=card,FUT,2007-05-04
